Project,StationCode,Sample Year,SampleDate,Replicate,UniqueID,CollectionTime,CollectionMethod_BMI,UniqueID_CSCI,CSCI Score,So Cal IBI,North Coast IBI,UniqueID_IPI,IPI,UniqueID_ASCI,ASCIdiatom,ASCIsba,ASCIhybrid,D18,H20,S2,CRAM,Mean Water Alkalinity Total (mg/L),Mean Water Dissolved Oxygen (mg/L),Mean Water pH,Mean Water Specific Conductivity (uS/cm),Mean Water Temperature (C),Mean Water Temperature (F),Mean Water Turbidity (NTU)
RWB2_WadeableStreams_2017,201LAG050,2017,6/27/2017,1,201LAG05042913,,BMI_RWB,201LAG050_06/27/17_BMI_RWB_1,0.914178349691834,,,201LAG050_6/27/2017_RWQCB2,1,201LAG050_27-Jun-17_1,0.934169858241397,0.977004929636525,0.887594126975876,,,,,95,8.75,,287.4,17.7,63.8,2.96
RWB2_WadeableStreams_2017,201LAG065,2017,6/12/2017,1,201LAG06542898,,BMI_RWB,201LAG065_06/12/17_BMI_RWB_1,1.05463424868093,,,201LAG065_6/12/2017_RWQCB2,1.11,201LAG065_12-Jun-17_1,0.878299288336702,1.00340906574172,0.836583934571577,,,,,90,10.07,7.81,217.9,14.5,58,17.2
RWB2_WadeableStreams_2017,201LAG103,2017,6/12/2017,1,201LAG10342898,,BMI_RWB,201LAG103_06/12/17_BMI_RWB_1,0.907516072819698,,,201LAG103_6/12/2017_RWQCB2,1.18,201LAG103_12-Jun-17_1,0.826190238501918,1.0410456669462,0.755480000704876,,,,,70,8.96,7.53,214.7,12.8,55,7.24
RWB2_Status_Yr1,201LAG130,2001,4/16/2001,1,201LAG13036997,1/0/1900,BMI_CSBP_Trans,201LAG130_4/16/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,0.960956,65.66666667,59.66666667,NA,,NA,,,,NA,NA,NA,,NR,NR,7.63,246,14.7,58.46,0.6
RWB2_WadeableStreams_2016,201LAG140,2016,6/9/2016,1,201LAG14042530,1/0/1900,BMI_RWB,201LAG14042530BMI_RWB1,0.923621,58.7,47,201LAG140_6/9/2016_RWQCB2,0.97,201LAG140_9-Jun-16_1,0.539012996489861,0.971130144781859,0.458403180328436,48,48,48,,,8.43,7.47,204.1,15,58.9,2.1
RWB2_Status_Yr1,201LAG150,2001,4/16/2001,1,201LAG15036997,1/0/1900,BMI_CSBP_Trans,201LAG150_4/16/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,0.874129,63,53,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2016,201LAG150,2016,6/1/2016,1,201LAG15042522,1/0/1900,BMI_RWB,201LAG15042522BMI_RWB1,0.681118,45.35,28.4,201LAG150_6/1/2016,0.84,201LAG150_1-Jun-16_1,0.671695687956468,0.836091769013434,0.541807088113835,30,35,45,,,9.67,8.07,246.3,17,62.5,1.06
RWB2_WadeableStreams_2017,201LAG150,2017,5/15/2017,1,201LAG15042870,,BMI_RWB,201LAG150_05/15/17_BMI_RWB_1,0.762432231024768,,,201LAG150_5/15/2017_RWQCB2,0.95,201LAG150_15-May-17_1,0.848573646933483,1.06626651930425,0.850646226597981,,,,,60,10.65,7.19,167.1,13.3,55.9,1.78
RWB2_Status_Yr1,201LAG160,2001,4/16/2001,1,201LAG16036997,1/0/1900,BMI_CSBP_Trans,201LAG160_4/16/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,0.589833,49,29,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2016,201LAG160,2016,6/2/2016,1,201LAG16042523,1/0/1900,BMI_RWB,201LAG16042523BMI_RWB1,0.64401,27.4,21.4,201LAG160_6/2/2016,0.95,201LAG160_2-Jun-16_1,0.965267830285834,0.802654557042407,0.896637566707271,40,38,43,,,7.14,7.69,309.5,15.7,60.3,13.9
RWB2_WadeableStreams_2017,201LAG160,2017,5/24/2017,1,201LAG16042879,,BMI_RWB,201LAG160_05/24/17_BMI_RWB_1,0.76546964893965,,,201LAG160_5/24/2017_RWQCB2,0.92,201LAG160_24-May-17_1,1.00990143390369,1.02742737648262,0.934080171961275,,,,,90,8.68,7.53,271.6,15.6,60.1,9.51
RWB2_Status_Yr1,201LAG165,2001,4/18/2001,1,201LAG16536999,1/0/1900,BMI_CSBP_Trans,201LAG165_4/18/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.057715,74.33333333,69.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2016,201LAG165,2016,6/14/2016,1,201LAG16542535,1/0/1900,BMI_RWB,201LAG16542535BMI_RWB1,1.02404,80.9,73.35,201LAG165_6/14/2016,1.08,201LAG165_14-Jun-16_1,0.65386344380879,1.00241045257702,0.655537938463121,58,51,50,,,9.05,7.82,200.7,14,57.2,1.14
RWB2_WadeableStreams_2017,201LAG175,2017,6/27/2017,1,201LAG17542913,,BMI_RWB,201LAG175_06/27/17_BMI_RWB_1,0.792849530726042,,,201LAG175_6/27/2017_RWQCB2,1.11,201LAG175_27-Jun-17_1,0.950313188443239,0.605260790933417,0.919898067960048,,,,,100,8.17,,226,16,60.9,1.82
RWB2_Status_Yr1,201LAG180,2001,4/17/2001,1,201LAG18036998,1/0/1900,BMI_CSBP_Trans,201LAG180_4/17/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.144541,80.33333333,68,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr1,201LAG18X,2001,4/17/2001,1,201LAG18X36998,1/0/1900,BMI_CSBP_Trans,201LAG18X_4/17/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.008889,70.33333333,63.33333333,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr1,201LAG190,2001,4/17/2001,1,201LAG19036998,1/0/1900,BMI_CSBP_Trans,201LAG190_4/17/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.223528,85,77.33333333,NA,,NA,,,,NA,NA,NA,,NR,NR,7.84,228,15.12,59.216,0.4
SWB_BA_FieldRepeat,201LAG190,2004,9/28/2004,1,201LAG19038258,1/0/1900,BMI_TRC,201LAG190_9/28/2004_BMI_TRC_SWB_BA_FieldRepeat_R1,0.857088,63.33333333,59,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_BA_FieldRepeat,201LAG190,2004,9/28/2004,2,,,BMI_TRC,201LAG190_9/28/2004_BMI_TRC_SWB_BA_FieldRepeat_R2,0.923247,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_BA_FieldRepeat,201LAG190,2004,9/28/2004,3,,,BMI_TRC,201LAG190_9/28/2004_BMI_TRC_SWB_BA_FieldRepeat_R3,0.937837,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_RCMP_2008,201LAG190,2008,10/6/2008,1,201LAG19039727,1/0/1900,BMI_RWB,201LAG190_10/6/2008_BMI_RWB_SWB_RCMP_2008_R1,1.146115,85.65,80.45,201LAG190_10/6/2008,1.01,201LAG190_6-Oct-08_1,1.05638112177581,0.911410289759897,1.06047494802505,64,52,45,,180,12.15,8.1,97.1,14.4,57.9,0.5
RWB2_Status_Yr1,201LAG210,2001,4/17/2001,1,201LAG21036998,1/0/1900,BMI_CSBP_Trans,201LAG210_4/17/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.063204,71.33333333,63,NA,,NA,,,,NA,NA,NA,,NR,NR,7.64,233,13.61,56.498,0.7
RWB2_WadeableStreams_2016,201LAG210,2016,6/7/2016,1,201LAG21042528,1/0/1900,BMI_RWB,201LAG21042528BMI_RWB1,0.949591,66.05,53.35,201LAG210_6/7/2016,1.03,201LAG210_7-Jun-16_1,0.703872864670559,0.913959970193532,0.703590107695703,70,62,53,,,10.75,8.81,186.4,12.8,55.1,1.17
RWB2_WadeableStreams_2016,201LAG210,2016,6/7/2016,2,201LAG21042528,1/0/1900,NA,NA,,,,201LAG210_6/7/2016,1.03,201LAG210_7-Jun-16_2,1.03177297243488,0.947497261772844,0.999884391431686,,,,,,10.75,8.81,186.4,12.8,55.1,1.17
RWB2_Status_Yr1,201LAG220,2001,4/17/2001,1,201LAG22036998,1/0/1900,BMI_CSBP_Trans,201LAG220_4/17/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.139462,81,70.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2017,201LAG220,2017,6/26/2017,1,201LAG22042912,,BMI_RWB,201LAG220_06/26/17_BMI_RWB_1,0.865247566623241,,,201LAG220_6/26/2017_RWQCB2,1.1,201LAG220_26-Jun-17_1,0.85636314222621,0.994727363960673,0.834483629735188,,,,,80,9.59,,201.7,13.8,56.9,2.93
RWB2_WadeableStreams_2019,201LAG220,2019,7/9/2019,1,201LAG220_2019_1,,BMI_RWB,201LAG220_23506_2019_BMI_RWB_1,0.908298504,,,201LAG220_7/9/2019_RWQCB2,1.18,NA,,,,,,,,,10.67,7.57,208.9,13.1,55.6,7.9
RWB2_Status_Yr1,201LAG240,2001,4/18/2001,1,201LAG24036999,1/0/1900,BMI_CSBP_Trans,201LAG240_4/18/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.134987,82,73.66666667,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
BASMAA_Historic_MCSTOPPP,201LAG240,2009,5/6/2009,1,,,BMI_TRC,201LAG240_39939_BMI_TargetedRiffleComposite1,1.026214,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2016,201LAG241,2016,6/6/2016,1,201LAG24142892,1/0/1900,BMI_RWB,201LAG24142527BMI_RWB1,1.112739,90.15,71.95,201LAG241_6/6/2016_RWQCB2,0.8,201LAG241_6-Jun-16_1,0.734911620821968,0.988690651476396,0.782386459015063,54,48,50,,,9.52,7.94,407.6,15.3,59.5,1.03
RWB2_WadeableStreams_2017,201LAG242,2017,6/15/2017,1,201LAG24242901,,BMI_RWB,201LAG242_06/15/17_BMI_RWB_1,1.01600701413591,,,201LAG242_6/15/2017_RWQCB2,1.01,201LAG242_15-Jun-17_1,0.722587419756298,1.03863849397096,0.69062982617013,,,,,160,9.1,7.56,390.5,13.9,57,1.48
RWB2_WadeableStreams_2017,201LAG242,2017,6/15/2017,2,,,BMI_RWB,201LAG242_06/15/17_BMI_RWB_2,1.1114473603697,,,201LAG242_6/15/2017_RWQCB2,1.01,201LAG242_15-Jun-17_2,0.811302739085897,0.994267127779373,0.837550103748895,,,,,160,9.1,7.56,390.5,13.9,57,1.48
RWB2_WadeableStreams_2019,201LAG242,2019,7/8/2019,1,201LAG242_2019_1,,BMI_RWB,201LAG242_23505_2019_BMI_RWB_1,0.99560915,,,201LAG242_7/8/2019_RWQCB2,0.98,NA,,,,,,,,,9.34,7.55,375.3,15.4,59.7,2.46
RWB2_Status_Yr1,201LAG270,2001,4/18/2001,1,201LAG27036999,1/0/1900,BMI_CSBP_Trans,201LAG270_4/18/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.158274,74.33333333,62.33333333,NA,,NA,,,,NA,NA,NA,,NR,NR,7.54,596,15.37,59.666,0.55
BASMAA_Historic_MCSTOPPP,201LAG270,2009,5/7/2009,1,,,BMI_TRC,201LAG270_39940_BMI_TargetedRiffleComposite1,0.772611,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2016,201LAG280,2016,5/31/2016,1,201LAG28042521,1/0/1900,BMI_RWB,201LAG28042521BMI_RWB1,1.071796,68.1,52.4,201LAG280_5/31/2016_RWQCB2,1.02,201LAG280_31-May-16_1,0.683175940993335,1.03012560663292,0.549058923859205,34,49,80,,,6.41,7.38,473.7,14.8,58.7,1.5
RWB2_WadeableStreams_2017,201LAG280,2017,6/14/2017,1,201LAG28042900,,BMI_RWB,201LAG280_06/14/17_BMI_RWB_1,1.03426863925755,,,201LAG280_6/14/2017_RWQCB2,1.12,201LAG280_14-Jun-17_1,0.788374463482999,0.869995431148519,0.715075939496732,,,,,185,8.27,7.6,442.8,14.7,58.5,1.08
RWB2_WadeableStreams_2019,201LAG280,2019,7/10/2019,1,201LAG280_2019_1,,BMI_RWB,201LAG280_23507_2019_BMI_RWB_1,0.997615596,,,NA,,NA,,,,,,,,,7.41,7.6,439.9,15.9,60.6,28.7
BASMAA_Historic_MCSTOPPP,201LAG289,2009,5/6/2009,1,,,BMI_TRC,201LAG289_39939_BMI_TargetedRiffleComposite1,0.864137,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr1,201LAG290,2001,4/18/2001,1,201LAG29036999,1/0/1900,BMI_CSBP_Trans,201LAG290_4/18/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,0.956365,52.33333333,44,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2019,201LAG290,2019,6/19/2019,1,201LAG290_2019_1,,BMI_RWB,201LAG290_23516_2019_BMI_RWB_1,0.837115425,,,201LAG290_6/19/2019_RWQCB2,1.09,NA,,,,,,,,,8.5,7.52,420.9,15.2,59.4,2.21
RWB2_WadeableStreams_2019,201LAG290,2019,6/19/2019,2,201LAG290_2019_2,,BMI_RWB,201LAG290_23517_2019_BMI_RWB_2,0.850131621,,,201LAG290_6/19/2019_RWQCB2,1.09,NA,,,,,,,,,8.5,7.52,420.9,15.2,59.4,2.21
RWB2_Status_Yr1,201LAG300,2001,4/19/2001,1,201LAG30037000,1/0/1900,BMI_CSBP_Trans,201LAG300_4/19/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,0.979838,58.33333333,47,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_WadeableStreams_2016,201LAG300,2016,5/26/2016,1,201LAG30042516,1/0/1900,BMI_RWB,201LAG30042516BMI_RWB1,1.002931,66.75,49.75,201LAG300_5/26/2016,1.09,201LAG300_26-May-16_1,0.688377499149242,0.879102333355265,0.584140620937007,60,56,38,,,9.52,7.88,435.8,13.1,55.7,3.65
RWB2_WadeableStreams_2017,201LAG300,2017,6/14/2017,1,201LAG30042900,,BMI_RWB,201LAG300_06/14/17_BMI_RWB_1,0.893584521682398,,,201LAG300_6/14/2017_RWQCB2,1.13,201LAG300_14-Jun-17_1,0.870135865668726,0.937354147859915,0.762288501241252,,,,,160,8.77,7.62,407.2,13.4,56.1,1.28
RWB2_Status_Yr1,201LAG320,2001,4/18/2001,1,201LAG32036999,1/0/1900,BMI_CSBP_Trans,201LAG320_4/18/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.133795,72.33333333,59.33333333,NA,,NA,,,,NA,NA,NA,,NR,NR,7.29,232,14.02,57.236,0.5
RWB2_WadeableStreams_2016,201LAG320,2016,5/19/2016,1,201LAG32042509,1/0/1900,BMI_RWB,201LAG32042509BMI_RWB1,0.807308,50.55,47.7,201LAG320_5/19/2016,1.11,201LAG320_19-May-16_1,0.858889027523491,1.05120076486887,0.805559990670404,64,60,65,,,10.63,7.75,147.2,11.3,52.3,2.15
RWB2_Status_Yr1,201LAG330,2001,4/19/2001,1,201LAG33037000,1/0/1900,BMI_CSBP_Trans,201LAG330_4/19/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.158898,74.33333333,67.33333333,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_RCMP_2015,201LAG330,2015,5/11/2015,1,201LAG33042135,1/0/1900,BMI_RWB,201LAG330_5/11/2015_BMI_RWB_1,1.14155719327786,93,89,201LAG330_5/11/2015,0.98,201LAG330_11-May-15_1,0.942116223363065,0,0.893481727740157,84,52,17,85,248,10.25,9,282.5,12,53.6,0.09
RWB2_Status_Yr1,201LAG335,2001,4/19/2001,1,201LAG33537000,1/0/1900,BMI_CSBP_Trans,201LAG335_4/19/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,0.966823,73,67,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_RCMP_2009,201LAG335,2009,7/15/2009,1,201LAG33540009,1/0/1900,BMI_RWB,201LAG335_7/15/2009_BMI_RWB_SWB_RCMP_2009_R1,0.957332,88,80.45,201LAG335_7/15/2009,1.09,201LAG335_15-Jul-09_1,0.948992671700832,0.713259878220726,0.925176377478178,80,58,30,,272,6.82,8.22,319,15.1,59.2,0.22
RWB2_WadeableStreams_2016,201LAG335,2016,6/13/2016,1,201LAG33542534,1/0/1900,BMI_RWB,201LAG33542534BMI_RWB1,1.060063,78.6,59.55,201LAG335_6/13/2016_RWQCB2,0.98,201LAG335_13-Jun-16_1,0.998362171707302,0.794304819139939,0.938959225256482,68,49,30,,,9.61,7.96,508.5,13.6,56.4,0.93
RWB2_Status_Yr1,201LAG380,2001,4/19/2001,1,201LAG38037000,1/0/1900,BMI_CSBP_Trans,201LAG380_4/19/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.131876,79.66666667,70,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_RCMP_2009,201LAG380,2009,7/14/2009,1,201LAG38040008,1/0/1900,BMI_RWB,201LAG380_7/14/2009_BMI_RWB_SWB_RCMP_2009_R1,1.071009,71.75,62.4,201LAG380_7/14/2009,1.09,201LAG380_14-Jul-09_1,0.924213400592559,0.889330659012112,1.01403175146051,84,69,65,82,244,6.17,7.38,400,18.7,65.7,0.73
RWB2_WadeableStreams_2017,201LAG380,2017,6/13/2017,1,201LAG38042899,,BMI_RWB,201LAG380_06/13/17_BMI_RWB_1,1.17916716609203,,,201LAG380_6/13/2017_RWQCB2,0.99,201LAG380_13-Jun-17_1,1.14946165726991,0.876167820342075,0.993500204986698,,,,,190,8.28,7.44,378.7,12.8,55.1,10.2
RWB2_WadeableStreams_2016,201LAG385,2016,6/8/2016,1,201LAG38542529,1/0/1900,BMI_RWB,201LAG38542529BMI_RWB1,0.672135,,,201LAG385_6/8/2016_RWQCB2,1.02,201LAG385_8-Jun-16_1,0.834100765375681,0.828802488521109,0.694968102398632,,,,,,86,8.15,170.1,13.9,57.1,1.38
RWB2_Status_Yr1,201LAG390,2001,4/19/2001,1,201LAG39037000,1/0/1900,BMI_CSBP_Trans,201LAG390_4/19/2001_BMI_CSBP_Trans_RWB2_Status_Yr1_R1,1.163602,79.33333333,74,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_BA_FieldRepeat,201LAGCPT,2004,9/28/2004,1,201LAGCPT38258,1/0/1900,BMI_TRC,201LAGCPT_9/28/2004_BMI_TRC_SWB_BA_FieldRepeat_R1,0.888195,67,50.78333333,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_BA_FieldRepeat,201LAGCPT,2004,9/28/2004,2,,,BMI_TRC,201LAGCPT_9/28/2004_BMI_TRC_SWB_BA_FieldRepeat_R2,0.819337,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
SWB_BA_FieldRepeat,201LAGCPT,2004,9/28/2004,3,,,BMI_TRC,201LAGCPT_9/28/2004_BMI_TRC_SWB_BA_FieldRepeat_R3,0.833877,,,NA,,NA,,,,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA
RWB2_Status_Yr5,201MRS020,2005,4/12/2005,1,201MRS02038454,1/0/1900,BMI_CSBP_Comp,201MRS020_4/12/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.913299,76.95,68.9,NA,,NA,,,,NA,NA,NA,,NR,10.32,7.62,213,13.27,55.886,1.25
IBIRCMSE,201MRS020,2009,3/20/2009,1,,,BMI_TRC,201MRS020_3/20/2009_BMI_TRC_IBIRCMSE_R1,0.859472,,,NA,,NA,,,,,,,,NA,NA,NA,NA,NA,NA,NA
SWB_RCMP_2010,201MRS020,2010,9/13/2010,1,201MRS02040434,1/0/1900,BMI_RWB,201MRS020_9/13/2010_BMI_RWB_SWB_RCMP_2010_R1,1.089924,91.25,85.45,201MRS020_9/13/2010,1,201MRS020_13-Sep-10_1,0.955096464093202,1.01085205578163,0.958094928002942,72,76,78,90,109,9.3,7.66,357.9,12.8,55,0.29
SWB_RCMP_2016,201MRS020,2016,6/7/2016,1,201MRS02042528,,BMI_RWB,201MRS020_6/7/2016_BMI_RWB_1,0.92635624483733,80,71.05,201MRS020_6/7/2016,1.03,201MRS020_7-Jun-16_1,0.669994936148259,0.987375951676109,0.717801683588819,42,51,75,,115,10.41,8.2,257,13.9,57,0.14
RWB2_RefStreams_2016,201MUD500,2016,5/24/2016,1,201MUD50042514,,BMI_RWB,201MUD50042514BMI_RWB1,0.842771,46.95,43.35,201MUD500_5/24/2016_DFW-ABL,1.09,201MUD500_24-May-16_1,0.889313053154925,0.938384714107429,0.912736565489604,44,48,60,,55,9.48,7.85,307.3,12.8,55,1.13
RWB2_WadeableStreams_2017,201NIC400,2017,5/16/2017,1,201NIC40042871,,BMI_RWB,201NIC400_05/16/17_BMI_RWB_1,0.757119566994968,,,201NIC400_5/16/2017_RWQCB2,1.19,201NIC400_16-May-17_1,0.976320095313291,0.832862885898626,0.904356578486966,,,,,108,10.25,7.68,327.3,12.2,54,1.36
RWB2_Status_Yr5,201PNG010,2005,4/11/2005,1,201PNG01038453,1/0/1900,BMI_CSBP_Comp,201PNG010_4/11/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.94831,67,59,NA,,NA,,,,NA,NA,NA,,NR,NR,7.46,120,10.79,NR,1.94666666666667
RWB2_Status_Yr5,201PNG050,2005,4/12/2005,1,201PNG05038454,1/0/1900,BMI_CSBP_Comp,201PNG050_4/12/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.978105,79,74,NA,,NA,,,,NA,NA,NA,,NR,NR,NR,NR,NR,NR,2.6
SWB_RCMP_2018,201PNG050,2018,5/30/2018,1,,1/0/1900,BMI_RWB,201PNG050_2018_BMI_RWB_1,1.085107994,,,201PNG050_2018_DFW-ABL,1.12,201PNG050_5/30/2018_1,0.818583877,0.841753761,0.870836191,,,,,55,10.45,8.2,213.9,12.6,54.7,0.82
RWB2_Status_Yr5,201RDW040,2005,4/15/2005,1,201RDW04038457,,BMI_CSBP_Comp,201RDW040_4/15/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.504932,44,28,NA,,NA,,,,NA,NA,NA,,4,,,231,9.7,49.5,
RWB2_Status_Yr5,201RDW040,2005,4/15/2005,2,,,BMI_CSBP_Comp,201RDW040_4/15/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R2,0.430224,,,NA,,NA,,,,NA,NA,NA,,4,,,231,9.7,49.5,
RWB2_WadeableStreams_2019,201RDW040,2019,7/11/2019,1,201RDW040_2019_1,,BMI_RWB,201RDW040_23533_2019_BMI_RWB_1,0.41249573,,,NA,,NA,,,,,,,,,66.6,7.3,481.1,14.3,57.7,21.3
RWB2_Status_Yr5,201RDW060,2005,4/14/2005,1,201RDW06038456,1/0/1900,BMI_CSBP_Comp,201RDW060_4/14/2005_BMI_CSBP_Comp_RWB2_Status_Yr5_R1,0.951811,89.8,71,NA,,NA,,,,NA,NA,NA,,NR,9.54,7.09,129,12.09,53.762,7.6
SWB_LowGrad,201RDW060,2005,9/13/2005,1,201RDW06038608,1/0/1900,BMI_RWB_MCM,201RDW060_201RDW060_9/13/2005 0:00:00_BMI_RWB_MCM_1,0.785285047,78.86666667,61.65,NA,,NA,,,,NA,NA,NA,,NA,9.54,7.09,129,12.09,NA,7.6
