StationCode,StationName,Old_StaCode,Other_StaCode,Creek,Watershed,Sitedescri,SiteStatus_Final,FlowStatus_Final,GIS_Fails,SiteStatus_Rationale,FlowStatus_Rationale,SiteStatus_2017,FlowStatus_2014,SiteStatus_2013,FlowStatus_2013,BPJ_Nonref,TargetLatitude,TargetLongitude,Datum,Old_Lat,Old_Long,New_Lat,New_Long,hasWS
201LAG300,Woodacre Creek,201LAG300,,Lagunitas Creek,San Geronimo,San Geronimo at Wood Acre,Non-reference,P,3,,,Stressed,P,Stressed,P,FALSE,38.01275,-122.64689,NR,38.01275,-122.64689,38.01275,-122.64689,TRUE
201LAG320,Shafter Bridge,201LAG320,,Lagunitas Creek,Lagunitas Creek,Shafter Bridge,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,38.00453,-122.70878,NR,38.00453,-122.70878,38.00453,-122.70878,TRUE
201LAG330,Big Carson Creek,201LAG330,,Big Carson Creek,Lagunitas Creek,,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.99194,-122.66972,NR,37.99194,-122.66972,37.99194,-122.66972,TRUE
201LAG335,Big Carson Creek Tributary,201LAG335,,Big Carson Creek,Lagunitas Creek,Big Carson Creek Tributary,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.992222,-122.66,NR,37.992222,-122.66,37.992222,-122.66,TRUE
201LAG380,Little Carson,201LAG380,,?,Lagunitas Creek,NA,Reference,P,1,"failed manmade (Little Carson) No manmade channels here, very remote",,Reference,P,Intermediate,P,FALSE,37.96722,-122.64945,NR,37.96722,-122.64945,37.96722,-122.64945,TRUE
201LAG385,Lagunitas - 400m downstream of Alpine Lake Dam,201LAG385,,Lagunitas Creek,Lagunitas Creek,between 2 reservoirs,Non-reference,P,1,,BPJ,,,,,FALSE,37.94111,-122.64301,NR,37.949945,-122.650491,37.949945,-122.650491,TRUE
201LAG390,Cataract,201LAG390,,?,Lagunitas Creek,NA,Reference,P,1,failed code21 (Cataract Creek) 100% MMWD open space,,Reference,P,Intermediate,P,FALSE,37.9325,-122.63555,NR,37.932494,-122.635633,37.932494,-122.635633,TRUE
201LAGCPT,Lagunitas Creek above Camp Taylor,201LAGCPT,,Lagunitas Creek,Lagunitas Creek,,Non-reference,P,3,,Field Obs,,,,,FALSE,38.01923,-122.729,NR,38.01943,-122.72902,38.01943,-122.72902,TRUE
201MRS020,Morses Gulch,201MRS020,,?,?,NA,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.9201,-122.66887,NAD83,37.919681,-122.669518,37.9196808,-122.6695183,TRUE
201MUD500,Muddy Hollow Creek ~0.3mi above Pt. Reyas Ntl. Seashore Rd.,201MUD500,,Muddy Hollow Creek,Muddy Hollow Creek,Muddy Creek Hollow - 0.5km upstream of trailhead off of Limatour Spit Rd parking lot,Reference,P,0,,USGS lines,,,,,FALSE,38.052323,-122.867276,NR,38.052323,-122.867276,38.052323,-122.867276,TRUE
201NIC400,Nicasio Creek approx 500m west from the instersection of Lucas Valley Rd and Skywalker Ranch Rd,201NIC400,,Lagunitas Creek,Nicasio Creek,upper Nicasio trib at XXX,Non-reference,NP,2,,Field Obs,,,,,FALSE,38.055971,-122.662242,NAD83,38.055971,-122.662242,38.055971,-122.662242,TRUE
201PNG010,Lower Pine Gulch,201PNG010,,Pine Gulch Creek,Pine Gulch Creek,NA,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,37.91971,-122.69181,NAD83,37.919796,-122.691744,37.919796,-122.691744,TRUE
201PNG050,Teixeira,201PNG050,,Pine Gulch Creek,Pine Gulch Creek,NA,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.95451,-122.718,NAD83,37.954443,-122.717977,37.954443,-122.717977,TRUE
201RDW040,Green Gulch,201RDW040,,?,Redwood Creek,NA,Non-reference,P,4,,,Stressed,P,Stressed,P,FALSE,37.86306,-122.57202,NAD83,37.862567,-122.572701,37.862567,-122.5727005,TRUE
201RDW060,Lower Redwood,201RDW060,,Redwood Creek,Redwood Creek,NA,Non-reference,P,5,,,Intermediate,P,Intermediate,P,FALSE,37.86369,-122.57514,NAD83,37.862454,-122.574966,37.862454,-122.574966,TRUE
201RDW080,Redwood at ped bridge in Frank Valley -  approx 1 mile upstream of Hwy 1,201RDW080,,Redwood Creek,Redwood Creek,Redwood at ped bridge in Frank Valley -  approx 1 mile upstream of Hwy 1,Non-reference,P,3,,,Intermediate,P,Intermediate,P,FALSE,37.87717,-122.58114,WGS84,37.87717,-122.58114,37.87694777,-122.5810976,TRUE
201RDW100,Miwok Bridge,201RDW100,,Redwood Creek,Redwood Creek,NA,Non-reference,P,3,,,Intermediate,P,Intermediate,P,FALSE,37.88444,-122.57005,NAD83,37.884251,-122.570866,37.884251,-122.570866,TRUE
201RDW120,Muir Woods,201RDW120,,Redwood Creek,Redwood Creek,NA,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,37.90023,-122.57811,NAD83,37.900157,-122.578214,37.900157,-122.578214,TRUE
201RDW700,Redwood Creek ~0.4mi above Kent Cyn. Cr.,,,Redwood Creek,Redwood Creek,Redwood Creek ~0.4mi above Kent Cyn. Cr.,Non-reference,P,4,,BPJ,,,,,FALSE,37.8843,-122.5709,NAD83,,,37.88424644,-122.5708873,TRUE
201RDW710,Redwood Creek 1.1mi above Kent Cyn. Cr.,,,Redwood Creek,Redwood Creek,Redwood Creek 1.1mi above Kent Cyn. Cr.,Non-reference,P,3,,BPJ,,,,,FALSE,37.8915,-122.5704,NAD83,,,37.89133214,-122.5704832,TRUE
201RDW720,Redwood Creek below Fern Cr.,,,Redwood Creek,Redwood Creek,Redwood Creek below Fern Cr.,Non-reference,P,2,,BPJ,,,,,FALSE,37.9002,-122.578,NAD83,,,37.90006982,-122.5781115,TRUE
201RDW780,Redwood Creek ~0.4mi below Kent Cyn. Cr.,,,Redwood Creek,Redwood Creek,Redwood Creek ~0.4mi below Kent Cyn. Cr.,Non-reference,P,3,,BPJ,,,,,FALSE,37.8772,-122.5812,NAD83,,,37.87694128,-122.5811181,TRUE
201RDW790,Kent Creek above Muir Woods Rd.,,,Kent Creek,Redwood Creek,Kent Creek above Muir Woods Rd.,Reference,NP,0,US looks reference but directly adjacent is ranch,USGS lines,,,,,FALSE,37.8825,-122.5771,NAD83,,,37.88251048,-122.5770886,TRUE
201ROD040,Gerbode,201ROD040,,?,?,NA,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,37.83904,-122.51644,NAD83,37.839207,-122.516654,37.839207,-122.516654,TRUE
201ROD050,Lower Rodeo,201ROD050,,?,?,NA,Non-reference,P,3,,,Intermediate,P,Intermediate,P,FALSE,37.83291,-122.51613,NAD83,37.833245,-122.516824,37.833245,-122.516824,TRUE
201TVY030,Tennessee Valley,201TVY030,,?,?,NA,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,37.84857,-122.54224,NAD83,37.848478,-122.542761,37.848478,-122.542761,TRUE
201WBB010,Steep Ravine,201WBB010,,Steep Ravine,,Steep Ravine,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,37.88671,-122.62655,NAD83,,,37.88671,-122.62655,FALSE
201WLK010,Walker Creek ~1.6mi above Hwy 1,201WLK010,,Walker Creek,,Walker Creek ~1.6mi above Hwy 1,Reference,P,0,,,Reference,P,Reference,P,FALSE,38.2245,-122.9011389,NR,,,38.2245,-122.9011389,FALSE
201WLK030,Upper Keys Creek North of Bay Rd. and hwy 1 cross. - 201WLK030,201WLK030,,Keys Creek,Walker Creek,NA,Non-reference,NP,4,,,Stressed,NP,Stressed,NP,FALSE,38.240833,-122.905,NR,38.241189,-122.904675,38.241189,-122.904675,TRUE
201WLK050,Keys @ Irvin Road,201WLK050,,Keys Creek,Walker Creek,NA,Non-reference,NP,3,,,Intermediate,NP,Intermediate,NP,FALSE,38.24353,-122.89806,NR,38.243357,-122.899667,38.243357,-122.899667,TRUE
201WLK098,Walker Creek-0.3mi downstream of Chileno Valley Creek confluence,201WLK098,,Walker Creek,Walker Creek,d/s of Chileno confluence,Non-reference,P,0,"grazing, mines, reservoir US",Field Obs,,,,,FALSE,38.215233,-122.864597,NR,38.215233,-122.864597,38.215233,-122.864597,TRUE
201WLK100,Chileno Canyon,201WLK100,,Chileno Creek,Walker Creek,NA,Non-reference,NP,0,"Heavy grazing, cow poop, eroded banks",,Intermediate,NP,Reference,NP,FALSE,38.2145,-122.85794,NR,38.213923,-122.858145,38.213923,-122.858145,TRUE
201WLK120,Chileno Valley,201WLK120,,,,Chileno Valley,Non-reference,NP,1,,,Intermediate,NP,Intermediate,NP,FALSE,38.20764,-122.79456,NR,,,38.20764,-122.79456,FALSE
201WLK130,Upper Chileno Creek at OK Ranch  US side Chileno Valley Rd Crossing - 201WLK130,201WLK130,,?,Walker Creek,NA,Non-reference,NP,1,,,Intermediate,NP,Intermediate,NP,FALSE,38.206389,-122.769167,NR,38.205641,-122.772203,38.205641,-122.772203,TRUE
201WLK140,Walker Canyon,201WLK140,,,,Walker Canyon,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,38.21192,-122.86006,NR,,,38.21192,-122.86006,FALSE
201WLK150,Walker Creek approx 200m downstream of bridge xing at north end of Walker Creek Ranch,201WLK150,,Walker Creek,Walker Creek,most d/s section of WCR,Non-reference,P,1,,Field Obs,,,,,FALSE,38.184404,-122.838774,NAD83,38.184404,-122.838774,38.184404,-122.838774,TRUE
201WLK160,Walker Creek Ranch,201WLK160,,Walker Creek,Walker Creek,NA,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,38.17545,-122.82044,NR,38.175383,-122.820877,38.175383,-122.820877,TRUE
201WLK165,Walker Creek at southern edge of Walker Creek Ranch facilities,201WLK165,,Walker Creek,Walker Creek,most u/s section of WCR,Non-reference,P,2,,Field Obs,,,,,FALSE,38.17221,-122.81526,NAD83,38.17221,-122.81526,38.17221,-122.81526,TRUE
201WLK170,Verde Canyon,201WLK170,,Walker Creek,Walker Creek,NA,Reference,NP,0,,,Reference,NP,Reference,NP,FALSE,38.16445,-122.81136,NR,38.164523,-122.811387,38.164523,-122.811387,TRUE
201WLK178,Walker Creek-Downstream of confluence of Sausal Creek at motorcycle club,201WLK178,,Walker Creek,Walker Creek,at motorcycle club,Non-reference,P,2,,Field Obs,,,,,FALSE,38.163658,-122.783144,NR,38.163658,-122.783144,38.163658,-122.783144,TRUE
201WLK180,Gambonini Mine,201WLK180,,Salmon Creek,Walker Creek,NA,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,38.16175,-122.78033,NR,38.161999,-122.780384,38.161999,-122.780384,TRUE
201WLK190,Salmon Creek,201WLK190,,Walker Creek,Salmon Creek,Salmon Creek,Reference,P,0,,,Reference,P,Reference,P,FALSE,38.16458,-122.77194,NR,38.16458,-122.77194,38.16458,-122.77194,TRUE
201WLK200,Soulajule,201WLK200,,Arroyo Sausal,Walker Creek,NA,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,38.15758,-122.78408,NR,38.157596,-122.78409,38.157596,-122.78409,TRUE
201WLK230,Arroyo Sausal,201WLK230,,Arroyo Sausal,Walker Creek,NA,Non-reference,NP,1,,,Intermediate,NP,Intermediate,NP,FALSE,38.14342,-122.72472,NR,38.143242,-122.724455,38.143242,-122.724455,TRUE
201WLK240,Cheese Factory,201WLK240,,Arroyo Sausal,Walker Creek,NA,Non-reference,NP,1,,,Intermediate,NP,Intermediate,NP,FALSE,38.13589,-122.70914,NR,38.135978,-122.709804,38.135978,-122.709804,TRUE
202BUT010,Bean Hollow,202BUT010,,Butano Creek,Pescadero Creek,NA,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,37.25003,-122.39553,NR,37.250117,-122.395472,37.250117,-122.395472,TRUE
202BUT020,Cloverdale Coast Ranch,202BUT020,,Butano Creek,Pescadero Creek,NA,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,37.23395,-122.36719,NR,37.235602,-122.36884,37.23395,-122.36719,TRUE
202BUT030,Girl Scout Camp,202BUT030,,Butano Creek,Pescadero Creek,NA,Non-reference,P,0,50-100 houses (on septic) in riparian zone/floodplain immediately upstream,,Intermediate,P,Reference,P,FALSE,37.22474,-122.33254,NAD83,37.224863,-122.332576,37.22474,-122.33254,TRUE
202BUT040,Butano Falls,202BUT040,,Pescadero Creek,Butano Creek,Butano Falls,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.24195,-122.31719,NR,37.24195,-122.31719,37.24195,-122.31719,TRUE
202BUT050,Butano State Park,202BUT050,,Little Butano Creek,Pescadero Creek,NA,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.20607,-122.33483,NR,37.209236,-122.33267,37.20607,-122.33483,TRUE
202BUT480,"Little Butano Creek, 250m US of pumping station and bridge, RMC 202R00166",202BUT480,,,,,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.213634,-122.314113,NAD83,,,37.213634,-122.314113,FALSE
202BUT600,"Little Butano Creek, 175m DS of confluence with trib, RMC 202R00038",202BUT600,,,,,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.215901,-122.307277,NAD83,,,37.21523067,-122.3085367,FALSE
202BUT850,"Butano Creek, 2km downstream of Butano Creek source; RMC 202R00150",202BUT850,202R00150,Butano Creek,,"Butano Creek, 2km downstream of Butano Creek source; RMC 202R00150",Reference,P,3,logging rds US but can't get better in R2,Mike Napolitano BPJ,,,,,FALSE,37.22664,-122.2412,NAD83,,,37.22664,-122.2412,FALSE
202DRY010,"Dry Creek, 20m upstream of confluence with Tunitas Creek; RMC 202R00268",202DRY010,202R00268,Dry Creek,,"Dry Creek, 20m upstream of confluence with Tunitas Creek; RMC 202R00268",Non-reference,P,0,,near site already known,,,,,FALSE,37.35917,-122.39124,NAD83,,,37.35917,-122.39124,FALSE
202LAH950,"La Honda Creek, 900m from top of stream, RMC 202R00104",202LAH950,,,,,Non-reference,NP,2,,,Intermediate,NP,Intermediate,NP,FALSE,37.38878,-122.284299,NAD83,,,37.38878,-122.284299,FALSE
202LGC300,Langley Creek- 350m from confluence with La Honda Creek; 202R00408,202LGC300,,,,,Non-reference,NP,0,,"BPJ, USGS lines",,,,,FALSE,37.33100066,-122.2743869,WGS84,,,37.33100066,-122.2743869,FALSE
202MIC150,Mills Creek - 1.0mi upstream of confluence with Arroyo Leon; 202R00312,202MIC150,202R00312,Mills Creek,,Mills Creek - 1.0mi upstream of confluence with Arroyo Leon; 202R00312,Non-reference,P,0,ranch and ranch rd directly US,near site already known,,,,,FALSE,37.452328,-122.392423,WGS84,,,37.452328,-122.392423,FALSE
202PES050,Water Lane,202PES050,,,,Water Lane,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,37.258,-122.39492,NR,,,37.258,-122.39492,FALSE
202PES060,Community Church,202PES060,,Pescadero Creek,Pescadero Creek,at church on Stage Coach Rd.,Non-reference,P,6,,,Intermediate,P,Intermediate,P,FALSE,37.25449,-122.38314,NR,37.25449,-122.38314,37.25449,-122.38314,TRUE
202PES070,Cloverdale Rd,202PES070,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,5,,,Intermediate,P,Intermediate,P,FALSE,37.25164,-122.36999,NR,37.253061,-122.370966,37.253061,-122.370966,TRUE
202PES080,Honsinger,202PES080,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,37.252,-122.3698,NR,37.252247,-122.369585,37.252247,-122.369585,TRUE
202PES090,Pescadero Creek directly downstream from Native Son D,202PES090,,Pescadero Creek,,Pescadero Creek directly downstream from Native Son D,Non-reference,P,5,,Field Obs,,,,,FALSE,37.253572,-122.345922,NAD83,,,37.253572,-122.345922,FALSE
202PES095,Pesky Ranch,202PES095,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,5,,,Intermediate,P,Intermediate,P,FALSE,37.25649,-122.33777,NR,37.256956,-122.338005,37.256956,-122.338005,TRUE
202PES100,PES USGS Gage,202PES100,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,5,,,Intermediate,P,Intermediate,P,FALSE,37.26098,-122.32909,NR,37.260893,-122.328882,37.260893,-122.328882,TRUE
202PES120,Loma Mar,202PES120,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,3,,,Stressed,P,Stressed,P,FALSE,37.26695,-122.30935,NR,37.266924,-122.308711,37.266924,-122.308711,TRUE
202PES140,Water Treatment Plant,202PES140,,Pescadero Creek,Pescadero Creek,Water Treatment Plant,Non-reference,P,3,,,Stressed,P,Stressed,P,FALSE,37.27575,-122.28619,NR,37.27575,-122.28619,37.27575,-122.28619,TRUE
202PES141,McCormick Creek above waterfall and confluence with Pescadero Creek,202PES141,,,,,Non-reference,P,4,,Field Obs,,,,,FALSE,37.276102,-122.28626,NAD83,,,37.276102,-122.28626,FALSE
202PES142,Pescadero Creek approx 450m us from McCormick Creek confluence,202PES142,,Pescadero Creek,,Pescadero Creek approx 450m us from McCormick Creek confluence,Non-reference,P,4,,Field Obs,,,,,FALSE,37.275876,-122.281307,NAD83,,,37.275876,-122.281307,FALSE
202PES150,Jones Gulch,202PES150,,?,Pescadero Creek,NA,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,37.27605,-122.26669,NR,37.276403,-122.266813,37.276403,-122.266813,TRUE
202PES151,Towne Creek directly US of Jones Gulch conlfuence,202PES151,,Towne Creek,,Towne Creek directly US of Jones Gulch conlfuence,Reference,P,0,"passes all GIS and BPJ, conductivity ok",USGS lines,,,,,FALSE,37.275424,-122.266389,NAD83,,,37.275424,-122.266389,FALSE
202PES160,Towne Fire Rd. (Steve Young),202PES160,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,37.26927,-122.26368,NR,37.269526,-122.263659,37.269526,-122.263659,TRUE
202PES162,Pescadero approx 150 m upstream of Towne Fire Road crossing,202PES162,,Pescadero Creek,Pescadero Creek,Towne Fire Rd. (Steve Young),Non-reference,P,2,,,Intermediate,P,Intermediate,P,FALSE,37.26914,-122.26395,WGS84,37.26914,-122.26395,37.26915848,-122.2640741,TRUE
202PES168,"Tarwater Creek, 50m upstream from confluence with Pescadero Creek; RMC 202R00214",202PES168,202R00214,Tarwater Creek,,"Tarwater Creek, 50m upstream from confluence with Pescadero Creek; RMC 202R00214",Non-reference,P,0,passes all GIS and BPJ but fails conductivity,Field Obs,,,,,FALSE,37.26166,-122.24082,NAD83,,,37.26166,-122.24082,FALSE
202PES170,Tarwater Creek,202PES170,,Tarwater Creek,Pescadero Creek,NA,Reference,P,0,,,Reference,P,Reference,P,FALSE,37.26443,-122.23911,NR,37.263887,-122.239318,37.263887,-122.239318,TRUE
202PES180,Peters Creek,202PES180,,Pescadero Creek,Peters Creek,Peters Creek,Non-reference,P,3,,,Stressed,P,Stressed,P,FALSE,37.25137,-122.21792,NR,37.25137,-122.21792,37.25153527,-122.2179603,TRUE
202PES190,Portola State Park,202PES190,,Pescadero Creek,Pescadero Creek,NA,Non-reference,P,4,,,Intermediate,P,Intermediate,P,FALSE,37.25106,-122.21783,NR,37.251387,-122.218231,37.25106,-122.21783,TRUE
202PES200,Slate Creek,202PES200,,Slate Creek,,Slate Creek,Non-reference,P,1,,,Intermediate,P,Intermediate,P,FALSE,37.2419,-122.20041,NR,,,37.2419,-122.20041,FALSE
